art_nombre,art_vr_reposicion,cco_nombre,predevolucion,estado
Formaleta,30000,BODEGA METALMEGA,0,Malo
Andamios,2000,AMATISTA LIVING,1,Malo
Andamios,150000,AMATISTA LIVING,1,Bueno
Andamios,80000,AMATISTA LIVING,1,Malo
Equipo_multi,297000,BODEGA METALMEGA,0,Bueno
Formaleta,30000,BODEGA METALMEGA,0,Bueno
Herramienta,150000,FSCR,0,Bueno
Herramienta,260000,FSCR,0,Bueno
Equipo_Electronico,110000,FSCR,0,Bueno
Equipo_Electronico,7700000,FSCR,0,Bueno
Herramienta,100000,AMATISTA LIVING,0,Bueno
Equipo_multi,70000,BODEGA METALMEGA,0,Bueno
Andamios,2000,BODEGA METALMEGA,0,Bueno
Equipo_multi,150000,BODEGA METALMEGA,0,Bueno
Equipo_multi,130000,BODEGA METALMEGA,0,Bueno
Equipo_multi,40000,BODEGA METALMEGA,0,Bueno
Equipo_multi,0,BODEGA METALMEGA,0,Bueno
Equipo_multi,297000,BODEGA METALMEGA,0,Malo
Formaleta,320000,BODEGA METALMEGA,0,Bueno
Equipo_multi,2000,BODEGA METALMEGA,0,Bueno
Equipo_multi,164000,BODEGA METALMEGA,0,Bueno
Herramienta,150000,FSCR,0,Bueno
Herramienta,260000,FSCR,0,Bueno
Equipo_Electronico,110000,FSCR,0,Bueno
Equipo_Electronico,7700000,FSCR,0,Bueno
Formaleta,320000,BODEGA METALMEGA,0,Bueno
Formaleta,320000,BODEGA METALMEGA,0,Bueno
Equipo_multi,70000,BODEGA METALMEGA,0,Malo
Andamios,2000,BODEGA METALMEGA,0,Malo
Equipo_multi,150000,BODEGA METALMEGA,0,Bueno
Equipo_multi,130000,BODEGA METALMEGA,0,Bueno
Equipo_multi,40000,BODEGA METALMEGA,0,Bueno
Equipo_multi,0,BODEGA METALMEGA,0,Bueno
Equipo_multi,297000,BODEGA METALMEGA,0,Bueno
Equipo_multi,2000,BODEGA METALMEGA,0,Malo
Equipo_multi,90000,BODEGA METALMEGA,0,Malo
Equipo_multi,96000,BODEGA METALMEGA,0,Bueno
Equipo_multi,164000,BODEGA METALMEGA,0,Bueno
Andamios,2000,DEPOSITO JAZA,0,Bueno
Andamios,150000,DEPOSITO JAZA,0,Bueno
Andamios,80000,DEPOSITO JAZA,0,Bueno
Formaleta,200000,BODEGA METALMEGA,0,Malo
Equipo_Electronico,5000000,FSCR,0,Bueno
Formaleta,320000,BODEGA METALMEGA,0,Bueno
Formaleta,240000,BODEGA METALMEGA,0,Malo
Formaleta,30000,BODEGA METALMEGA,0,Malo
